Round,Track,Qualifying,Stint,Lap,"Rear Wing","Front Wing",Engine,Brake,Differential,Suspension,Fuel,"Tyre Remaining","Tyre Choice","Lap Time","Lap Distance",Cornering,Inclines,Camber,Grip,Altitude,Roughness,Width,Temperature,Humidity,"Wind (Avg. Speed)","Wind (Gusts)","Air Density","Air Pressure"
1,France,1,0,1,500,370,130,250,250,10,10,100,"Extra Soft",63.90551275,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,1,1,500,370,10,130,10,10,47.751806896136,96.875549145908,Hard,68.19942125,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,2,1,10,500,130,250,10,10,47.751806896136,96.875549145908,Hard,70.55448065,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,3,1,130,500,500,250,10,10,47.751806896136,96.875549145908,Hard,71.12798065,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,4,1,130,130,500,370,10,10,47.751806896136,96.875549145908,Hard,71.50342125,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,5,1,500,10,250,500,10,10,47.751806896136,96.875549145908,Hard,69.30716485,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,6,1,10,130,500,500,10,10,47.751806896136,96.875549145908,Hard,73.16016485,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,7,1,250,250,370,130,130,10,47.751806896136,96.875549145908,Hard,71.56592125,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,8,1,250,250,370,250,130,10,47.751806896136,96.875549145908,Hard,69.70792125,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,9,1,130,500,10,10,250,10,47.751806896136,96.875549145908,Hard,68.95948065,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,10,1,500,370,130,250,250,10,47.751806896136,96.875549145908,Hard,66.28042125,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
1,France,0,11,1,10,500,130,250,250,10,47.751806896136,96.875549145908,Hard,68.30448065,3.3,98,73,13,18,15,74,8,39,74,48,77,14,41
